"user_id","payment_month","payment_date","revenue_amount_usd","monthly_mrr","previous_mrr","expansion_mrr","contraction_mrr","is_new_user","is_churned"
"3iITAz/ADjFv3PDTgTjxSg==",2022-04-01 00:00:00.000 +0200,2022-04-01,18.15,81.42,23.76,57.66,0,0,0
"3Whh6FLR1MSfsuHKVdCEYQ==",2022-04-01 00:00:00.000 +0200,2022-04-08,24.06,59.67,0,0,0,1,0
"4b7l8C489HEJirtoe7xtFg==",2022-04-01 00:00:00.000 +0200,2022-04-10,14.94,14.94,27.15,0,12.21,0,0
"4btLP2zvi8eBV0t08fdkKQ==",2022-04-01 00:00:00.000 +0200,2022-04-07,26.28,125.97,17.79,108.18,0,0,0
"75lEf3nSWLSf6GncqhR9gQ==",2022-04-01 00:00:00.000 +0200,2022-04-10,15.81,65.97,14.1,51.87,0,0,0
"787jk0VnxM8/sv/0TkvO6A==",2022-04-01 00:00:00.000 +0200,2022-04-05,16.5,53.49,48.45,5.04,0,0,0
"7EPlnA7OQ9MhMx+od6FA9g==",2022-04-01 00:00:00.000 +0200,2022-04-13,33.99,114.15,158.67,0,44.52,0,0
"7GE5h/3N3lcro3K9T3aujw==",2022-04-01 00:00:00.000 +0200,2022-04-10,16.62,58.20,38.52,19.68,0,0,0
"7luG+f1d+Ri4AjeMbFR1Xw==",2022-04-01 00:00:00.000 +0200,2022-04-27,16.92,16.92,0,0,0,1,1
"7SeM1pmnTTTXfhI+x3ldng==",2022-04-01 00:00:00.000 +0200,2022-04-02,14.01,105.96,34.74,71.22,0,0,0
"7zbxKst2yi3pfdVI8iEChw==",2022-04-01 00:00:00.000 +0200,2022-04-11,23.31,23.31,0,0,0,1,1
A1qVjssGQ+ZUWZu3Z5DzTA==,2022-04-01 00:00:00.000 +0200,2022-04-25,13.95,13.95,45.27,0,31.32,0,1
AN9at3LlvDamqXq8dvHD4w==,2022-04-01 00:00:00.000 +0200,2022-04-02,24.15,64.50,42.03,22.47,0,0,0
aQDvOXzsDAJWi3Y47ptRPg==,2022-04-01 00:00:00.000 +0200,2022-04-23,15.21,15.21,0,0,0,1,0
b3TBQFxyCxxypmPajF+jXw==,2022-04-01 00:00:00.000 +0200,2022-04-30,14.82,14.82,13.98,0.84,0,0,0
B4b6v6eUHvAVOeAQk6EEiw==,2022-04-01 00:00:00.000 +0200,2022-04-12,30.27,63.60,15.3,48.30,0,0,1
BJlqmsfEshc/QjsD7VgEjg==,2022-04-01 00:00:00.000 +0200,2022-04-15,14.28,30.66,0,0,0,1,1
CCwTMcGtpirFFuqzSeTyaQ==,2022-04-01 00:00:00.000 +0200,2022-04-18,20.76,20.76,15.84,4.92,0,0,1
Dbff3x5cRk6/tUY3WQdzFQ==,2022-04-01 00:00:00.000 +0200,2022-04-02,23.67,60.57,0,0,0,1,0
DorDcyqBWMg5IEaflqn5Xw==,2022-04-01 00:00:00.000 +0200,2022-04-05,15.81,50.16,0,0,0,1,0
dpfu6t8G4blqMn55KM8bSg==,2022-04-01 00:00:00.000 +0200,2022-04-29,33.03,33.03,0,0,0,1,0
DqezK7HAqZ+GovyRuzxD1A==,2022-04-01 00:00:00.000 +0200,2022-04-19,18.36,83.19,0,0,0,1,0
eCd4MBHIR4qUWapg05TFLQ==,2022-04-01 00:00:00.000 +0200,2022-04-18,23.04,23.04,0,0,0,1,0
F9Jtg6+0qPUKWDgBJxG8cA==,2022-04-01 00:00:00.000 +0200,2022-04-19,24.72,48.45,0,0,0,1,1
fCdEizmUtnjNYQLbx81H8g==,2022-04-01 00:00:00.000 +0200,2022-04-14,18.12,18.12,0,0,0,1,1
Fqu+/F0rn1G4YP3f3yHA1Q==,2022-04-01 00:00:00.000 +0200,2022-04-12,26.28,26.28,0,0,0,1,0
GEAVJz1gd3SThbDZR01fcA==,2022-04-01 00:00:00.000 +0200,2022-04-07,19.17,87.36,0,0,0,1,0
Ghk2iJmzSUW4qLsmJgwOcw==,2022-04-01 00:00:00.000 +0200,2022-04-01,21.09,128.40,17.13,111.27,0,0,0
gPRMy8HkmaiyX+13OxuP/A==,2022-04-01 00:00:00.000 +0200,2022-04-12,15.96,55.86,0,0,0,1,0
Grpkzd4XIHh+ZbTMNxnUGg==,2022-04-01 00:00:00.000 +0200,2022-04-20,17.49,35.55,0,0,0,1,0
H2Tik+BqoLgAQX4uSw/8vA==,2022-04-01 00:00:00.000 +0200,2022-04-21,14.34,14.34,0,0,0,1,0
Hamw6F2EZmJfI2glmE2NEg==,2022-04-01 00:00:00.000 +0200,2022-04-26,18.66,42.24,0,0,0,1,0
hkNuy6dTFIFcsQQfT5YkwQ==,2022-04-01 00:00:00.000 +0200,2022-04-04,20.25,20.25,0,0,0,1,1
HRBsRwGu5mkTvZBTNpA0tQ==,2022-04-01 00:00:00.000 +0200,2022-04-03,23.04,59.64,0,0,0,1,0
hRkRI5YBVIH6bbqIDTbung==,2022-04-01 00:00:00.000 +0200,2022-04-07,26.61,67.26,0,0,0,1,0
HxWcXHURvvtOJkrXAcDxQg==,2022-04-01 00:00:00.000 +0200,2022-04-04,39.51,82.53,66.18,16.35,0,0,0
HZqx1XVZ1mb7lM9T61x+DA==,2022-04-01 00:00:00.000 +0200,2022-04-15,14.61,14.61,0,0,0,1,1
iFFApiXZ2wPdS666BLpKZw==,2022-04-01 00:00:00.000 +0200,2022-04-06,21.51,49.92,26.85,23.07,0,0,1
iFnn4bfYgNs8OS5MCcLjeA==,2022-04-01 00:00:00.000 +0200,2022-04-25,18.39,18.39,0,0,0,1,1
ilnMSoPJHAYMegDX02XG+w==,2022-04-01 00:00:00.000 +0200,2022-04-17,23.97,54.03,0,0,0,1,0
J6WNl39fdxaY8ZtvV8wNkw==,2022-04-01 00:00:00.000 +0200,2022-04-23,18.42,18.42,16.14,2.28,0,0,0
Jp0hnV9XOJGVV5jpFhlqgQ==,2022-04-01 00:00:00.000 +0200,2022-04-19,12.72,56.16,122.64,0,66.48,0,0
jVhb69DTRT5TSWYEiUrlbg==,2022-04-01 00:00:00.000 +0200,2022-04-15,28.05,58.44,17.46,40.98,0,0,0
K/6KHxREKTlFZXRfBNVNuQ==,2022-04-01 00:00:00.000 +0200,2022-04-04,23.79,41.46,0,0,0,1,0
l3sFUsG2qpcnrEzwRnjvtQ==,2022-04-01 00:00:00.000 +0200,2022-04-17,16.23,59.73,38.10,21.63,0,0,1
lCD23Awt3KotauWenCRr5w==,2022-04-01 00:00:00.000 +0200,2022-04-25,26.01,47.94,0,0,0,1,0
Lug+Yg90jslWgHEN6dc+Ng==,2022-04-01 00:00:00.000 +0200,2022-04-06,21.48,82.23,0,0,0,1,1
nklUUkirU5GYU5ZtNOgx8w==,2022-04-01 00:00:00.000 +0200,2022-04-11,19.11,19.11,0,0,0,1,0
nPrRQwP3UZo2KBlM2mJ8fg==,2022-04-01 00:00:00.000 +0200,2022-04-02,31.68,31.68,0,0,0,1,0
o55dseByUOl9s5IQCz1kuQ==,2022-04-01 00:00:00.000 +0200,2022-04-18,13.74,86.88,23.16,63.72,0,0,0
ojVPXYZw2oeGtcmG7LcLGA==,2022-04-01 00:00:00.000 +0200,2022-04-12,21.33,21.33,0,0,0,1,0
orbgZNBGuhZZx63HTAbyIw==,2022-04-01 00:00:00.000 +0200,2022-04-17,25.8,62.13,0,0,0,1,0
OwODWxXcsV4bBnhONiLkwg==,2022-04-01 00:00:00.000 +0200,2022-04-10,14.37,14.37,0,0,0,1,1
pz7LUOs9i7xgncmHVxQvOw==,2022-04-01 00:00:00.000 +0200,2022-04-25,19.5,19.5,36.51,0,17.01,0,0
s27V1tbCAysovKSY1XcdWQ==,2022-04-01 00:00:00.000 +0200,2022-04-03,16.44,39.48,22.95,16.53,0,0,0
ShEJVi+TtuQlvdw2uetd/Q==,2022-04-01 00:00:00.000 +0200,2022-04-07,18.87,131.97,0,0,0,1,0
SyWxmJ+Ha8K2C9UJt8blVA==,2022-04-01 00:00:00.000 +0200,2022-04-02,16.8,16.8,55.62,0,38.82,0,1
T+RA0/fgzbUBLF89D4AEDA==,2022-04-01 00:00:00.000 +0200,2022-04-10,22.41,45.48,16.11,29.37,0,0,1
