"user_id","payment_date","payment_month","mrr","new_mrr","new_users","churned_users","churned_revenue"
HxWcXHURvvtOJkrXAcDxQg==,2022-03-23,2022-03-01 00:00:00.000 +0100,1490.52,1490.52,43,5,109.20
"7GE5h/3N3lcro3K9T3aujw==",2022-03-25,2022-03-01 00:00:00.000 +0100,1490.52,1490.52,43,5,109.20
J6WNl39fdxaY8ZtvV8wNkw==,2022-03-25,2022-03-01 00:00:00.000 +0100,1490.52,1490.52,43,5,109.20
SyWxmJ+Ha8K2C9UJt8blVA==,2022-03-25,2022-03-01 00:00:00.000 +0100,1490.52,1490.52,43,5,109.20
"7EPlnA7OQ9MhMx+od6FA9g==",2022-03-26,2022-03-01 00:00:00.000 +0100,1490.52,1490.52,43,5,109.20
zSepnWFgLH0tQb1s4mxKZQ==,2022-03-26,2022-03-01 00:00:00.000 +0100,1490.52,1490.52,43,5,109.20
A1qVjssGQ+ZUWZu3Z5DzTA==,2022-03-26,2022-03-01 00:00:00.000 +0100,1490.52,1490.52,43,5,109.20
jVhb69DTRT5TSWYEiUrlbg==,2022-03-26,2022-03-01 00:00:00.000 +0100,1490.52,1490.52,43,5,109.20
XE2e8BsmBo72HxABlJmsRw==,2022-03-27,2022-03-01 00:00:00.000 +0100,1490.52,1490.52,43,5,109.20
Jp0hnV9XOJGVV5jpFhlqgQ==,2022-03-27,2022-03-01 00:00:00.000 +0100,1490.52,1490.52,43,5,109.20
B4b6v6eUHvAVOeAQk6EEiw==,2022-03-27,2022-03-01 00:00:00.000 +0100,1490.52,1490.52,43,5,109.20
"4b7l8C489HEJirtoe7xtFg==",2022-03-27,2022-03-01 00:00:00.000 +0100,1490.52,1490.52,43,5,109.20
"4b7l8C489HEJirtoe7xtFg==",2022-03-28,2022-03-01 00:00:00.000 +0100,1490.52,1490.52,43,5,109.20
prNQwR2IPPsvGpFgOpcGaQ==,2022-03-28,2022-03-01 00:00:00.000 +0100,1490.52,1490.52,43,5,109.20
pz7LUOs9i7xgncmHVxQvOw==,2022-03-28,2022-03-01 00:00:00.000 +0100,1490.52,1490.52,43,5,109.20
A1qVjssGQ+ZUWZu3Z5DzTA==,2022-03-29,2022-03-01 00:00:00.000 +0100,1490.52,1490.52,43,5,109.20
"4btLP2zvi8eBV0t08fdkKQ==",2022-03-29,2022-03-01 00:00:00.000 +0100,1490.52,1490.52,43,5,109.20
